cycle,setting1,setting2,setting3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,ttf
90,0.0035,0.0005,100.0,518.67,642.76,1590.13,1413.89,14.62,21.61,552.15,2388.19,9049.77,1.3,47.65,521.34,2388.18,8123.74,8.4474,0.03,394,2388,100.0,38.67,23.2794,112
127,0.0002,-0.0002,100.0,518.67,642.69,1589.56,1400.51,14.62,21.61,553.63,2388.06,9066.51,1.3,47.44,521.36,2388.11,8147.79,8.452,0.03,393,2388,100.0,38.79,23.3247,68
100,0.0018,-0.0003,100.0,518.67,642.73,1591.19,1412.82,14.62,21.61,552.47,2388.12,9070.9,1.3,47.79,520.16,2388.09,8149.97,8.421,0.03,395,2388,100.0,38.79,23.2617,37
119,0.0,-0.0002,100.0,518.67,642.67,1585.06,1401.87,14.62,21.61,554.32,2388.0,9054.52,1.3,47.24,522.21,2388.0,8141.97,8.4236,0.03,392,2388,100.0,38.74,23.3731,168
181,0.001,-0.0005,100.0,518.67,643.78,1604.19,1420.72,14.62,21.61,552.09,2388.3,9044.23,1.3,48.1,519.44,2388.23,8113.37,8.5026,0.03,395,2388,100.0,38.46,23.1098,4
145,-0.0011,0.0004,100.0,518.67,642.06,1592.04,1405.31,14.62,21.61,553.92,2388.03,9064.62,1.3,47.57,521.3,2388.12,8143.27,8.4107,0.03,394,2388,100.0,38.86,23.3844,168
158,-0.0002,0.0005,100.0,518.67,643.22,1593.07,1415.83,14.62,21.61,551.98,2388.22,9047.53,1.3,48.08,520.21,2388.2,8129.73,8.4849,0.03,393,2388,100.0,38.74,23.3006,44
241,0.0013,-0.0002,100.0,518.67,643.14,1603.37,1431.51,14.62,21.61,552.52,2388.18,9075.25,1.3,47.95,520.26,2388.24,8151.52,8.5086,0.03,396,2388,100.0,38.46,23.1039,18
79,0.0016,-0.0002,100.0,518.67,642.75,1585.32,1404.53,14.62,21.61,554.39,2388.02,9073.28,1.3,47.17,522.07,2388.05,8149.99,8.3993,0.03,392,2388,100.0,38.86,23.2632,137
53,0.0029,0.0001,100.0,518.67,641.92,1579.32,1401.24,14.62,21.61,554.12,2388.0,9070.73,1.3,47.32,522.3,2388.01,8144.15,8.4135,0.03,392,2388,100.0,38.96,23.4945,161
52,0.0047,-0.0004,100.0,518.67,642.55,1581.69,1395.74,14.62,21.61,554.45,2387.99,9068.46,1.3,47.38,522.11,2387.99,8145.66,8.3764,0.03,391,2388,100.0,38.95,23.4285,113
142,0.0023,0.0003,100.0,518.67,642.73,1585.04,1409.85,14.62,21.61,553.99,2388.04,9066.22,1.3,47.42,521.59,2388.09,8144.49,8.4151,0.03,392,2388,100.0,39.19,23.3992,80
54,0.0012,0.0004,100.0,518.67,642.52,1585.11,1400.51,14.62,21.61,554.16,2388.06,9052.74,1.3,47.17,522.3,2388.02,8148.11,8.4012,0.03,392,2388,100.0,38.84,23.4519,222
247,-0.0015,-0.0002,100.0,518.67,642.61,1592.12,1409.07,14.62,21.61,553.32,2388.11,9052.05,1.3,47.56,521.09,2388.13,8132.31,8.4327,0.03,394,2388,100.0,38.67,23.2619,115
165,-0.0019,-0.0003,100.0,518.67,643.53,1603.75,1427.53,14.62,21.61,551.97,2388.33,9036.86,1.3,48.16,519.34,2388.26,8117.11,8.4813,0.03,396,2388,100.0,38.4,23.0925,5
221,-0.0029,0.0005,100.0,518.67,643.6,1599.86,1419.89,14.62,21.61,551.68,2388.21,9054.64,1.3,48.03,519.98,2388.24,8138.17,8.4727,0.03,394,2388,100.0,38.59,23.1223,19
2,-0.0012,-0.0003,100.0,518.67,642.92,1585.97,1410.81,14.62,21.61,552.74,2388.11,9040.66,1.3,47.62,521.82,2388.13,8120.18,8.4209,0.03,392,2388,100.0,38.9,23.2926,148
162,-0.0014,0.0,100.0,518.67,642.61,1583.17,1400.5,14.62,21.61,553.76,2388.03,9078.51,1.3,47.4,521.83,2387.97,8156.3,8.3958,0.03,392,2388,100.0,39.05,23.3126,121
146,0.0018,0.0002,100.0,518.67,643.39,1592.18,1419.52,14.62,21.61,551.95,2388.2,9056.09,1.3,47.77,520.19,2388.17,8133.17,8.4815,0.03,395,2388,100.0,38.71,23.0928,20
173,0.0002,-0.0001,100.0,518.67,642.76,1593.25,1412.62,14.62,21.61,551.45,2388.11,9056.51,1.3,47.6,521.15,2388.14,8138.55,8.4612,0.03,395,2388,100.0,38.74,23.2136,44
85,-0.005,-0.0002,100.0,518.67,642.21,1580.18,1393.68,14.62,21.61,554.94,2388.02,9060.01,1.3,47.23,523.14,2388.04,8143.72,8.4168,0.03,392,2388,100.0,38.92,23.404,208
80,-0.0002,0.0005,100.0,518.67,641.95,1588.83,1402.95,14.62,21.61,554.36,2388.07,9061.0,1.3,47.37,522.0,2388.04,8145.17,8.4196,0.03,392,2388,100.0,39.06,23.3386,282
25,-0.0005,-0.0005,100.0,518.67,641.85,1578.67,1396.31,14.62,21.61,555.86,2387.96,9064.74,1.3,47.26,523.12,2388.02,8141.9,8.3949,0.03,392,2388,100.0,39.16,23.3639,160
6,0.0009,-0.0003,100.0,518.67,642.36,1588.81,1413.03,14.62,21.61,553.71,2388.0,9066.39,1.3,47.07,521.99,2387.98,8145.04,8.3998,0.03,389,2388,100.0,39.25,23.4322,207
81,-0.0005,-0.0004,100.0,518.67,642.89,1584.46,1407.7,14.62,21.61,554.15,2388.09,9071.58,1.3,47.46,521.37,2388.05,8147.83,8.4094,0.03,393,2388,100.0,38.88,23.3511,85
160,-0.0022,0.0002,100.0,518.67,642.82,1587.98,1405.19,14.62,21.61,553.19,2388.05,9072.8,1.3,47.48,521.78,2388.07,8148.46,8.4609,0.03,393,2388,100.0,38.84,23.3837,80
34,-0.0037,-0.0001,100.0,518.67,642.55,1586.15,1408.11,14.62,21.61,553.31,2388.07,9053.71,1.3,47.36,521.63,2388.15,8130.14,8.4326,0.03,393,2388,100.0,38.92,23.3377,138
29,0.0044,0.0001,100.0,518.67,642.57,1580.96,1408.16,14.62,21.61,554.6,2388.07,9060.51,1.3,47.51,522.37,2388.01,8144.78,8.3978,0.03,394,2388,100.0,38.97,23.3693,284
198,0.0022,-0.0002,100.0,518.67,643.46,1599.45,1433.83,14.62,21.61,552.86,2388.15,9214.62,1.3,47.85,519.86,2388.13,8271.39,8.5206,0.03,397,2388,100.0,38.49,23.1286,3
24,-0.001,0.0003,100.0,518.67,642.4,1591.92,1409.21,14.62,21.61,553.37,2388.11,9044.73,1.3,47.29,521.63,2388.11,8122.41,8.4412,0.03,394,2388,100.0,39.03,23.3359,146
70,0.001,0.0003,100.0,518.67,642.54,1587.26,1412.08,14.62,21.61,552.89,2388.13,9048.53,1.3,47.35,521.73,2388.15,8125.93,8.4326,0.03,394,2388,100.0,38.85,23.363,118
164,0.0001,-0.0005,100.0,518.67,642.51,1592.86,1406.39,14.62,21.61,553.92,2388.08,9064.28,1.3,47.27,521.76,2388.13,8141.84,8.4037,0.03,394,2388,100.0,38.84,23.3656,92
198,-0.0037,-0.0005,100.0,518.67,643.91,1606.34,1431.45,14.62,21.61,551.54,2388.23,9106.82,1.3,48.2,519.91,2388.18,8164.59,8.5117,0.03,396,2388,100.0,38.35,23.0653,1
194,-0.0009,-0.0003,100.0,518.67,642.3,1588.61,1403.67,14.62,21.61,553.9,2388.1,9065.53,1.3,47.49,521.21,2388.08,8145.13,8.4273,0.03,393,2388,100.0,38.86,23.3814,147
151,0.0016,0.0,100.0,518.67,642.96,1585.94,1413.53,14.62,21.61,552.87,2388.1,9057.27,1.3,47.57,521.35,2388.09,8136.78,8.4672,0.03,395,2388,100.0,38.81,23.2591,89
171,-0.0009,-0.0001,100.0,518.67,642.09,1581.87,1403.84,14.62,21.61,554.0,2388.04,9061.89,1.3,47.45,521.84,2388.01,8139.99,8.4072,0.03,392,2388,100.0,38.86,23.2952,122
70,0.0009,-0.0,100.0,518.67,642.99,1592.12,1399.18,14.62,21.61,554.11,2388.08,9051.23,1.3,47.49,522.15,2388.08,8133.86,8.4442,0.03,393,2388,100.0,39.0,23.3108,123
30,-0.0033,-0.0002,100.0,518.67,642.07,1590.39,1403.38,14.62,21.61,553.45,2388.01,9049.39,1.3,47.52,522.28,2388.03,8131.72,8.4076,0.03,393,2388,100.0,38.91,23.2435,163
58,0.0008,-0.0002,100.0,518.67,642.32,1586.96,1404.61,14.62,21.61,553.8,2388.02,9066.95,1.3,47.18,521.81,2388.09,8142.77,8.4207,0.03,393,2388,100.0,39.02,23.3168,140
318,0.0014,-0.0002,100.0,518.67,643.61,1599.34,1424.57,14.62,21.61,552.22,2388.16,9115.23,1.3,48.02,520.6,2388.16,8184.48,8.498,0.03,395,2388,100.0,38.5,23.0729,23
255,0.001,-0.0,100.0,518.67,643.06,1593.97,1421.43,14.62,21.61,552.41,2388.09,9136.55,1.3,47.9,520.42,2388.09,8208.51,8.4853,0.03,395,2388,100.0,38.56,23.1941,21
121,0.0007,0.0002,100.0,518.67,641.92,1581.7,1398.31,14.62,21.61,554.13,2388.04,9052.34,1.3,47.19,521.81,2387.99,8132.13,8.4206,0.03,392,2388,100.0,38.91,23.5486,172
44,-0.0037,-0.0,100.0,518.67,642.22,1581.61,1405.46,14.62,21.61,554.34,2388.02,9056.38,1.3,47.17,522.52,2388.03,8132.99,8.4236,0.03,391,2388,100.0,39.09,23.4477,196
64,0.0041,-0.0001,100.0,518.67,642.2,1588.24,1406.35,14.62,21.61,554.35,2387.98,9061.77,1.3,47.19,522.04,2388.0,8143.95,8.3938,0.03,393,2388,100.0,39.0,23.3359,131
1,0.0,-0.0002,100.0,518.67,641.73,1582.64,1401.58,14.62,21.61,555.37,2387.98,9064.54,1.3,47.09,522.39,2387.99,8148.75,8.383,0.03,391,2388,100.0,38.84,23.4584,213
93,-0.0011,0.0005,100.0,518.67,643.38,1596.95,1414.46,14.62,21.61,553.14,2388.14,9068.07,1.3,47.53,521.32,2388.12,8140.81,8.4603,0.03,394,2388,100.0,38.74,23.3175,95
129,0.0009,0.0005,100.0,518.67,642.47,1597.59,1400.48,14.62,21.61,553.69,2388.09,9064.58,1.3,47.46,522.37,2388.1,8145.05,8.4208,0.03,391,2388,100.0,38.94,23.3593,71
75,-0.0018,0.0004,100.0,518.67,642.7,1593.66,1407.71,14.62,21.61,553.56,2388.04,9065.47,1.3,47.35,522.3,2388.06,8142.78,8.4152,0.03,392,2388,100.0,38.86,23.3278,125
108,0.0021,0.0003,100.0,518.67,642.56,1586.63,1403.55,14.62,21.61,554.17,2388.07,9068.62,1.3,47.38,521.79,2388.07,8148.95,8.405,0.03,393,2388,100.0,38.89,23.4082,90
48,-0.0009,-0.0002,100.0,518.67,642.89,1589.04,1405.39,14.62,21.61,553.83,2388.07,9059.79,1.3,47.5,521.42,2388.06,8144.33,8.4039,0.03,393,2388,100.0,38.84,23.3366,89
111,0.0028,-0.0,100.0,518.67,642.12,1578.68,1403.06,14.62,21.61,554.26,2388.01,9073.19,1.3,47.31,522.56,2388.01,8153.99,8.3703,0.03,393,2388,100.0,39.06,23.3337,172
228,-0.0017,0.0001,100.0,518.67,642.67,1592.83,1406.88,14.62,21.61,553.35,2388.11,9069.67,1.3,47.46,521.18,2388.1,8152.87,8.4493,0.03,394,2388,100.0,38.72,23.2553,59
286,0.0021,0.0002,100.0,518.67,642.84,1601.01,1416.19,14.62,21.61,552.56,2388.15,9067.6,1.3,47.91,520.16,2388.17,8140.08,8.502,0.03,395,2388,100.0,38.59,23.1976,50
26,0.0011,0.0,100.0,518.67,642.24,1583.09,1399.38,14.62,21.6,553.89,2388.02,9062.13,1.3,47.11,522.1,2387.98,8141.34,8.4021,0.03,392,2388,100.0,39.08,23.4386,159
204,-0.0036,-0.0004,100.0,518.67,643.06,1596.08,1416.37,14.62,21.61,552.96,2388.17,9070.73,1.3,47.8,521.09,2388.08,8140.84,8.4432,0.03,395,2388,100.0,38.74,23.1096,74
6,-0.0015,0.0,100.0,518.67,642.94,1588.6,1406.49,14.62,21.61,553.76,2388.11,9062.66,1.3,47.41,521.58,2388.09,8139.4,8.4635,0.03,392,2388,100.0,38.88,23.2545,152
192,0.0016,0.0004,100.0,518.67,643.78,1591.52,1424.39,14.62,21.61,551.78,2388.23,9062.13,1.3,47.94,520.3,2388.19,8140.99,8.4901,0.03,395,2388,100.0,38.64,23.1215,4
93,-0.0028,-0.0003,100.0,518.67,642.78,1597.28,1409.82,14.62,21.61,552.86,2388.16,9069.58,1.3,47.54,520.9,2388.08,8147.97,8.4468,0.03,393,2388,100.0,38.79,23.2173,87
93,0.0002,-0.0001,100.0,518.67,642.72,1591.59,1399.35,14.62,21.6,554.28,2388.01,9069.35,1.3,47.33,521.98,2388.02,8150.16,8.4185,0.03,393,2388,100.0,38.81,23.4296,72
21,-0.0016,0.0004,100.0,518.67,642.48,1586.09,1409.51,14.62,21.61,553.29,2388.07,9038.91,1.3,47.44,522.01,2388.07,8129.25,8.441,0.03,392,2388,100.0,38.88,23.3958,133
103,0.0006,-0.0005,100.0,518.67,642.7,1583.29,1401.61,14.62,21.61,554.22,2388.06,9059.4,1.3,47.29,521.74,2388.04,8141.12,8.399,0.03,393,2388,100.0,39.0,23.3975,128
92,-0.0045,0.0001,100.0,518.67,642.51,1582.87,1397.31,14.62,21.6,553.39,2387.97,9069.2,1.3,47.12,522.24,2387.95,8151.22,8.3978,0.03,393,2388,100.0,38.88,23.3029,191
45,-0.0002,0.0,100.0,518.67,642.26,1580.47,1395.59,14.62,21.61,554.99,2388.01,9057.82,1.3,47.03,521.96,2387.99,8141.59,8.4198,0.03,391,2388,100.0,38.95,23.3652,162
134,-0.0017,0.0005,100.0,518.67,642.47,1581.1,1408.24,14.62,21.61,553.27,2388.05,9068.47,1.3,47.32,521.45,2388.09,8149.51,8.4187,0.03,392,2388,100.0,38.93,23.363,179
205,0.0029,0.0005,100.0,518.67,643.75,1601.68,1427.87,14.62,21.61,551.6,2388.32,9038.8,1.3,48.13,520.21,2388.25,8113.28,8.5174,0.03,395,2388,100.0,38.57,23.0505,8
15,0.0011,0.0001,100.0,518.67,642.49,1583.13,1391.64,14.62,21.61,554.4,2388.04,9057.39,1.3,47.19,522.33,2388.02,8135.72,8.3784,0.03,392,2388,100.0,39.06,23.4839,219
12,0.0023,-0.0003,100.0,518.67,642.27,1579.14,1396.65,14.62,21.61,553.88,2388.04,9064.49,1.3,47.16,522.19,2387.99,8141.03,8.3862,0.03,392,2388,100.0,38.98,23.4034,244
111,0.0017,-0.0,100.0,518.67,642.69,1594.49,1415.61,14.62,21.61,553.11,2388.04,9081.79,1.3,47.5,520.96,2388.09,8152.72,8.4563,0.03,393,2388,100.0,38.86,23.3189,88
50,0.0002,-0.0002,100.0,518.67,642.27,1583.16,1400.73,14.62,21.61,554.57,2387.96,9063.74,1.3,47.26,522.32,2388.0,8149.32,8.4266,0.03,392,2388,100.0,38.88,23.4421,142
251,-0.005,0.0004,100.0,518.67,643.73,1594.94,1413.76,14.62,21.61,552.88,2388.13,9094.54,1.3,47.74,521.33,2388.09,8171.58,8.471,0.03,396,2388,100.0,38.74,23.255,32
150,0.0002,0.0002,100.0,518.67,643.47,1603.26,1420.21,14.62,21.61,551.73,2388.2,9051.15,1.3,47.97,520.57,2388.25,8135.17,8.5296,0.03,396,2388,100.0,38.61,23.2245,16
49,0.0008,-0.0002,100.0,518.67,642.72,1586.85,1410.55,14.62,21.61,552.88,2388.11,9042.81,1.3,47.62,521.0,2388.19,8121.11,8.4552,0.03,392,2388,100.0,38.8,23.235,153
82,-0.0,-0.0001,100.0,518.67,641.72,1585.22,1394.09,14.62,21.6,554.37,2388.03,9059.96,1.3,47.09,522.58,2388.03,8141.97,8.4503,0.03,392,2388,100.0,38.8,23.358,117
131,-0.0042,-0.0002,100.0,518.67,642.28,1589.03,1408.38,14.62,21.61,554.51,2388.08,9058.02,1.3,47.4,521.05,2388.04,8139.69,8.411,0.03,392,2388,100.0,38.87,23.2141,210
1,-0.0002,-0.0001,100.0,518.67,643.41,1587.82,1411.03,14.62,21.61,554.53,2388.08,9054.59,1.3,47.69,521.44,2388.11,8134.25,8.4351,0.03,393,2388,100.0,38.77,23.286,134
192,-0.0041,0.0002,100.0,518.67,642.55,1586.0,1400.74,14.62,21.61,554.33,2388.02,9079.42,1.3,47.43,521.44,2388.04,8156.21,8.3995,0.03,393,2388,100.0,38.93,23.3611,91
157,-0.0012,0.0004,100.0,518.67,642.77,1585.99,1407.43,14.62,21.61,553.07,2388.09,9060.92,1.3,47.48,521.38,2388.05,8129.77,8.4869,0.03,392,2388,100.0,38.73,23.3543,60
161,0.001,0.0001,100.0,518.67,642.67,1585.22,1406.39,14.62,21.61,553.98,2387.99,9108.36,1.3,47.36,522.31,2388.0,8185.06,8.4457,0.03,393,2388,100.0,38.84,23.3503,52
134,-0.0012,0.0,100.0,518.67,642.17,1590.65,1404.59,14.62,21.61,553.8,2387.98,9076.82,1.3,47.4,521.78,2388.05,8158.91,8.4201,0.03,392,2388,100.0,39.01,23.3459,82
38,0.0002,0.0003,100.0,518.67,642.42,1586.97,1403.97,14.62,21.61,553.97,2388.01,9069.46,1.3,47.36,522.91,2388.01,8150.95,8.3752,0.03,391,2388,100.0,39.02,23.2856,154
257,-0.0022,0.0001,100.0,518.67,642.74,1589.9,1411.28,14.62,21.61,553.52,2388.17,9061.04,1.3,47.62,520.88,2388.2,8135.22,8.4438,0.03,394,2388,100.0,38.86,23.1841,79
35,-0.0056,-0.0003,100.0,518.67,642.18,1593.21,1406.66,14.62,21.61,553.53,2388.06,9068.78,1.3,47.48,521.59,2388.09,8140.61,8.4356,0.03,392,2388,100.0,38.83,23.3955,102
163,-0.0016,0.0,100.0,518.67,643.0,1597.51,1422.22,14.62,21.61,553.11,2388.13,9142.78,1.3,47.58,521.34,2388.13,8209.22,8.4766,0.03,394,2388,100.0,38.64,23.1448,16
37,-0.0033,0.0002,100.0,518.67,642.37,1594.92,1405.4,14.62,21.61,553.35,2388.12,9048.37,1.3,47.41,521.45,2388.17,8130.44,8.4547,0.03,392,2388,100.0,38.81,23.2922,173
189,-0.0009,-0.0003,100.0,518.67,643.26,1591.49,1419.61,14.62,21.61,551.48,2388.22,9051.14,1.3,48.09,520.12,2388.33,8124.36,8.4888,0.03,396,2388,100.0,38.76,23.2067,18
25,0.0017,0.0005,100.0,518.67,642.0,1587.15,1401.83,14.62,21.61,554.3,2388.02,9064.0,1.3,47.34,521.76,2388.02,8141.95,8.3938,0.03,392,2388,100.0,39.01,23.4055,188
250,0.0025,-0.0001,100.0,518.67,643.18,1595.97,1414.12,14.62,21.61,552.55,2388.15,9069.94,1.3,47.77,521.09,2388.13,8143.98,8.4969,0.03,395,2388,100.0,38.9,23.2547,63
157,0.0002,0.0001,100.0,518.67,642.93,1588.94,1413.55,14.62,21.61,553.88,2388.12,9060.82,1.3,47.49,521.51,2388.09,8141.14,8.454,0.03,393,2388,100.0,38.71,23.2891,126
71,0.0007,-0.0003,100.0,518.67,643.33,1588.17,1406.7,14.62,21.61,553.55,2388.09,9059.1,1.3,47.52,520.92,2388.11,8132.86,8.4382,0.03,393,2388,100.0,38.94,23.3558,109
16,-0.0001,0.0003,100.0,518.67,641.85,1585.17,1402.02,14.62,21.61,554.67,2388.1,9058.6,1.3,47.39,521.61,2388.09,8137.47,8.4239,0.03,394,2388,100.0,38.93,23.375,184
11,-0.0011,-0.0005,100.0,518.67,642.38,1587.75,1403.69,14.62,21.61,553.43,2388.02,9062.92,1.3,47.46,522.23,2388.02,8146.18,8.3973,0.03,393,2388,100.0,39.04,23.4191,189
93,-0.0036,0.0004,100.0,518.67,642.63,1584.23,1401.12,14.62,21.61,553.73,2388.05,9060.73,1.3,47.25,522.16,2388.07,8141.63,8.4407,0.03,391,2388,100.0,39.03,23.4205,114
254,0.0017,-0.0002,100.0,518.67,642.92,1597.45,1422.15,14.62,21.61,552.1,2388.11,9098.19,1.3,47.89,520.31,2388.16,8173.95,8.4923,0.03,394,2388,100.0,38.47,23.2208,29
163,-0.0004,-0.0001,100.0,518.67,642.71,1590.71,1409.2,14.62,21.61,552.76,2388.1,9067.87,1.3,47.61,521.41,2388.12,8146.21,8.4434,0.03,392,2388,100.0,38.84,23.2965,120
57,0.0008,-0.0004,100.0,518.67,643.02,1591.66,1398.37,14.62,21.61,554.49,2387.98,9068.75,1.3,47.45,522.26,2388.02,8150.33,8.4069,0.03,392,2388,100.0,39.1,23.4089,159
72,-0.0028,0.0003,100.0,518.67,642.42,1584.73,1404.86,14.62,21.61,553.8,2388.11,9058.59,1.3,47.59,522.04,2388.06,8146.85,8.4021,0.03,392,2388,100.0,38.89,23.3863,126
67,0.0032,0.0001,100.0,518.67,642.34,1586.44,1391.0,14.62,21.61,554.21,2387.99,9059.87,1.3,47.12,522.37,2388.01,8143.53,8.4272,0.03,392,2388,100.0,38.88,23.5438,226
309,-0.0012,0.0003,100.0,518.67,643.23,1595.06,1423.02,14.62,21.61,552.02,2388.25,9068.47,1.3,48.0,520.91,2388.19,8140.36,8.5269,0.03,396,2388,100.0,38.48,23.1215,27
126,-0.0012,0.0002,100.0,518.67,643.39,1599.21,1417.22,14.62,21.61,551.93,2388.25,9035.13,1.3,47.94,520.03,2388.23,8116.9,8.5177,0.03,394,2388,100.0,38.55,23.1789,11
164,-0.0006,0.0003,100.0,518.67,643.44,1600.31,1424.57,14.62,21.61,551.36,2388.16,9116.28,1.3,48.0,519.82,2388.16,8185.82,8.532,0.03,397,2388,100.0,38.5,23.113,8
200,-0.0042,-0.0003,100.0,518.67,643.03,1593.26,1421.77,14.62,21.61,552.21,2388.16,9126.41,1.3,47.86,520.2,2388.08,8199.6,8.477,0.03,394,2388,100.0,38.56,23.2225,16
167,-0.0006,0.0,100.0,518.67,642.97,1596.98,1410.22,14.62,21.61,552.3,2388.09,9130.81,1.3,47.91,521.24,2388.13,8198.35,8.4678,0.03,395,2388,100.0,38.72,23.1656,22
219,0.0001,-0.0001,100.0,518.67,643.68,1605.06,1420.58,14.62,21.61,552.51,2388.19,9080.95,1.3,47.98,519.95,2388.28,8161.45,8.5145,0.03,396,2388,100.0,38.65,23.2159,12
31,0.0011,-0.0003,100.0,518.67,642.83,1593.13,1391.4,14.62,21.61,553.38,2388.1,9061.02,1.3,47.58,521.67,2388.11,8141.75,8.4401,0.03,392,2388,100.0,39.09,23.3422,149
21,0.0024,-0.0002,100.0,518.67,642.08,1580.09,1400.02,14.62,21.61,554.87,2387.98,9061.76,1.3,47.17,522.17,2388.06,8143.89,8.3911,0.03,392,2388,100.0,39.14,23.437,174
15,-0.0002,0.0001,100.0,518.67,642.53,1595.76,1394.38,14.62,21.61,554.34,2388.02,9061.9,1.3,47.35,522.53,2387.95,8142.46,8.4215,0.03,390,2388,100.0,39.03,23.4216,241
136,-0.0051,-0.0005,100.0,518.67,643.43,1597.34,1420.99,14.62,21.61,552.33,2388.16,9103.92,1.3,47.82,520.63,2388.13,8173.82,8.48,0.03,395,2388,100.0,38.6,23.1191,20
40,0.0026,0.0003,100.0,518.67,642.77,1596.22,1407.38,14.62,21.61,553.77,2388.04,9053.55,1.3,47.38,522.2,2388.09,8134.81,8.3846,0.03,391,2388,100.0,38.79,23.3047,149
82,0.0017,0.0003,100.0,518.67,642.2,1583.65,1397.34,14.62,21.61,555.22,2388.03,9060.7,1.3,47.19,522.22,2388.02,8134.2,8.4391,0.03,392,2388,100.0,39.19,23.3999,211
11,0.0019,0.0002,100.0,518.67,642.56,1586.04,1410.55,14.62,21.61,553.34,2388.08,9055.25,1.3,47.42,521.51,2388.11,8138.91,8.4197,0.03,394,2388,100.0,38.84,23.2635,223
177,-0.0005,0.0002,100.0,518.67,642.98,1597.43,1414.24,14.62,21.61,551.96,2388.16,9048.83,1.3,47.81,520.2,2388.24,8116.99,8.4666,0.03,394,2388,100.0,38.52,23.3035,52
155,0.0012,-0.0004,100.0,518.67,643.5,1600.73,1418.48,14.62,21.61,552.35,2388.17,9077.12,1.3,48.11,520.31,2388.16,8151.14,8.4748,0.03,395,2388,100.0,38.48,23.1946,26
180,0.003,0.0003,100.0,518.67,643.15,1595.8,1421.84,14.62,21.61,551.71,2388.24,9044.53,1.3,47.94,520.11,2388.2,8121.8,8.5149,0.03,395,2388,100.0,38.53,23.2189,33
149,-0.0011,0.0004,100.0,518.67,643.31,1592.92,1413.1,14.62,21.61,552.99,2388.13,9118.46,1.3,47.86,520.98,2388.08,8192.89,8.4539,0.03,396,2388,100.0,38.57,23.19,25
197,0.0,0.0001,100.0,518.67,643.6,1592.42,1423.17,14.62,21.61,552.13,2388.18,9064.31,1.3,47.92,520.84,2388.17,8137.42,8.4724,0.03,395,2388,100.0,38.71,23.0906,43
294,-0.002,0.0003,100.0,518.67,643.67,1601.09,1412.83,14.62,21.61,552.95,2388.14,9067.71,1.3,47.93,520.15,2388.22,8144.73,8.4812,0.03,394,2388,100.0,38.57,23.1354,42
38,-0.001,0.0003,100.0,518.67,642.57,1587.17,1407.76,14.62,21.61,553.26,2388.12,9047.43,1.3,47.53,521.63,2388.08,8133.43,8.4569,0.03,392,2388,100.0,38.9,23.323,172
31,0.0,0.0005,100.0,518.67,642.43,1585.58,1398.84,14.62,21.61,554.62,2388.0,9057.53,1.3,47.15,522.64,2388.0,8140.67,8.3931,0.03,393,2388,100.0,38.92,23.4831,203
112,-0.0015,-0.0001,100.0,518.67,642.66,1595.05,1406.63,14.62,21.61,554.25,2388.07,9063.78,1.3,47.44,521.66,2388.08,8151.49,8.4343,0.03,392,2388,100.0,38.93,23.293,53
331,-0.001,0.0002,100.0,518.67,643.88,1601.34,1431.16,14.62,21.61,551.52,2388.25,9071.86,1.3,48.02,520.23,2388.27,8143.42,8.5055,0.03,395,2388,100.0,38.27,23.0869,5
183,-0.001,0.0002,100.0,518.67,642.89,1593.07,1419.61,14.62,21.61,552.8,2388.16,9074.23,1.3,47.69,520.82,2388.16,8151.84,8.4512,0.03,394,2388,100.0,38.79,23.2165,92
80,-0.0001,0.0002,100.0,518.67,642.57,1593.28,1408.52,14.62,21.61,552.86,2388.15,9047.91,1.3,47.44,521.09,2388.1,8135.21,8.4643,0.03,393,2388,100.0,38.8,23.4292,88
257,0.0012,0.0004,100.0,518.67,644.09,1594.72,1419.53,14.62,21.61,552.62,2388.16,9142.44,1.3,47.85,520.7,2388.07,8206.35,8.4991,0.03,395,2388,100.0,38.47,23.1453,19
112,0.0014,-0.0002,100.0,518.67,643.48,1588.27,1415.87,14.62,21.61,552.81,2388.17,9061.73,1.3,47.89,521.35,2388.13,8135.31,8.4529,0.03,394,2388,100.0,38.82,23.1502,97
72,0.0008,0.0003,100.0,518.67,642.53,1590.39,1403.15,14.62,21.61,554.19,2388.07,9058.83,1.3,47.37,522.07,2388.05,8141.78,8.3885,0.03,393,2388,100.0,38.94,23.3261,83
14,-0.0015,-0.0005,100.0,518.67,642.2,1578.76,1395.27,14.62,21.61,554.56,2387.99,9076.98,1.3,47.0,522.68,2388.0,8154.58,8.3869,0.03,392,2388,100.0,38.98,23.463,144
174,-0.0022,-0.0001,100.0,518.67,642.73,1603.82,1416.84,14.62,21.61,552.8,2388.15,9079.87,1.3,47.76,521.26,2388.11,8159.03,8.4522,0.03,394,2388,100.0,38.56,23.2984,40
87,0.0006,0.0003,100.0,518.67,642.74,1591.85,1408.66,14.62,21.61,553.74,2388.14,9051.35,1.3,47.62,521.64,2388.17,8125.11,8.4666,0.03,393,2388,100.0,38.7,23.179,171
119,0.001,0.0003,100.0,518.67,642.18,1586.09,1390.45,14.62,21.61,554.27,2388.04,9072.92,1.3,47.06,522.07,2387.99,8154.77,8.4299,0.03,392,2388,100.0,39.0,23.2948,112
